Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
201985,AJ Price,1610612750,MIN,27.0,3,3,1.0,1.0,1.0,1.0,9,20,0.45,0.0,0.0,0.0,1.0,1.0,1.0,5,21,0.238,0.0,0.0,0.0
201166,Aaron Brooks,1610612743,DEN,29.0,69,141,0.489,36.0,108.0,0.333,32,83,0.386,10.0,18.0,0.556,7.0,21.0,0.333,78,205,0.38,1.0,5.0,0.2
201189,Aaron Gray,1610612758,SAC,29.0,14,29,0.483,10.0,24.0,0.417,3,7,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
203519,Adonis Thomas,1610612755,PHI,21.0,1,2,0.5,2.0,2.0,1.0,2,5,0.4,0.0,1.0,0.0,0.0,1.0,0.0,1,3,0.333,,,
1733,Al Harrington,1610612764,WAS,34.0,39,68,0.574,3.0,18.0,0.167,6,21,0.286,5.0,12.0,0.417,6.0,13.0,0.462,23,75,0.307,0.0,0.0,0.0
201143,Al Horford,1610612737,ATL,28.0,110,146,0.753,36.0,80.0,0.45,88,183,0.481,2.0,5.0,0.4,2.0,6.0,0.333,0,0,0.0,0.0,0.0,0.0
2744,Al Jefferson,1610612766,CHA,29.0,299,447,0.669,193.0,376.0,0.513,205,538,0.381,0.0,1.0,0.0,0.0,0.0,0.0,3,10,0.3,0.0,4.0,0.0
202329,Al-Farouq Aminu,1610612740,NOP,23.0,158,255,0.62,20.0,71.0,0.282,43,120,0.358,5.0,12.0,0.417,6.0,19.0,0.316,2,17,0.118,0.0,0.0,0.0
101187,Alan Anderson,1610612751,BKN,31.0,60,96,0.625,12.0,41.0,0.293,38,100,0.38,17.0,46.0,0.37,10.0,46.0,0.217,57,154,0.37,0.0,2.0,0.0
202692,Alec Burks,1610612762,UTA,22.0,201,337,0.596,47.0,118.0,0.398,82,233,0.352,9.0,19.0,0.474,6.0,19.0,0.316,35,96,0.365,0.0,9.0,0.0
