Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
243,Aaron McKie,1610612755,PHI,32.0,16,25,0.64,3,11,0.273,22,44,0.5,10.0,20.0,0.5,8.0,23.0,0.348,2,18,0.111,0.0,1.0,0.0
1425,Aaron Williams,1610612761,TOR,33.0,16,27,0.593,7,15,0.467,6,21,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1502,Adonal Foyle,1610612744,GSW,30.0,95,171,0.556,45,99,0.455,15,40,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0
1559,Adrian Griffin,1610612741,CHI,30.0,14,38,0.368,11,25,0.44,31,89,0.348,1.0,1.0,1.0,0.0,2.0,0.0,1,6,0.167,0.0,0.0,0.0
1733,Al Harrington,1610612737,ATL,25.0,269,443,0.607,41,119,0.345,127,350,0.363,3.0,14.0,0.214,3.0,14.0,0.214,10,43,0.233,0.0,3.0,0.0
2744,Al Jefferson,1610612738,BOS,20.0,124,214,0.579,51,103,0.495,20,49,0.408,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0
673,Alan Henderson,1610612742,DAL,32.0,94,151,0.623,15,46,0.326,7,21,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0
1893,Aleksandar Radojevic,1610612762,UTA,28.0,2,12,0.167,1,3,0.333,3,4,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,
2682,Alex Garcia,1610612740,NOH,25.0,10,20,0.5,0,2,0.0,3,12,0.25,1.0,3.0,0.333,0.0,4.0,0.0,4,11,0.364,,,
275,Allan Houston,1610612752,NYK,34.0,2,5,0.4,4,10,0.4,48,110,0.436,3.0,16.0,0.188,7.0,15.0,0.467,21,48,0.438,0.0,1.0,0.0
947,Allen Iverson,1610612755,PHI,30.0,316,580,0.545,90,212,0.425,261,689,0.379,10.0,24.0,0.417,6.0,13.0,0.462,88,299,0.294,0.0,1.0,0.0
297,Alonzo Mourning,1610612748,MIA,35.0,56,101,0.554,20,46,0.435,24,65,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2405,Amar'e Stoudemire,1610612756,PHX,22.0,440,635,0.693,123,277,0.444,181,408,0.444,1.0,2.0,0.5,0.0,1.0,0.0,2,10,0.2,0.0,3.0,0.0
2760,Anderson Varejao,1610612739,CLE,22.0,68,109,0.624,11,29,0.379,20,53,0.377,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2857,Andre Barrett,1610612753,ORL,23.0,10,21,0.476,3,11,0.273,18,40,0.45,1.0,12.0,0.083,8.0,16.0,0.5,5,23,0.217,0.0,1.0,0.0
2765,Andre Emmett,1610612763,MEM,22.0,1,3,0.333,0,1,0.0,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,
2738,Andre Iguodala,1610612755,PHI,21.0,176,255,0.69,15,52,0.288,31,97,0.32,7.0,24.0,0.292,15.0,50.0,0.3,25,68,0.368,0.0,0.0,0.0
1889,Andre Miller,1610612743,DEN,29.0,221,345,0.641,42,108,0.389,158,404,0.391,0.0,1.0,0.0,0.0,1.0,0.0,6,27,0.222,0.0,9.0,0.0
1905,Andrei Kirilenko,1610612762,UTA,24.0,121,191,0.634,18,41,0.439,45,113,0.398,0.0,2.0,0.0,1.0,7.0,0.143,22,66,0.333,0.0,0.0,0.0
2804,Andres Nocioni,1610612741,CHI,25.0,95,185,0.514,44,112,0.393,77,207,0.372,0.0,5.0,0.0,12.0,31.0,0.387,13,61,0.213,0.0,0.0,0.0
692,Andrew DeClercq,1610612753,ORL,32.0,4,8,0.5,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2740,Andris Biedrins,1610612744,GSW,19.0,41,60,0.683,4,14,0.286,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
358,Anfernee Hardaway,1610612752,NYK,33.0,26,43,0.605,15,36,0.417,54,132,0.409,1.0,6.0,0.167,2.0,8.0,0.25,12,35,0.343,0.0,0.0,0.0
1738,Ansu Sesay,1610612744,GSW,28.0,6,13,0.462,2,8,0.25,7,13,0.538,1.0,3.0,0.333,1.0,2.0,0.5,0,3,0.0,0.0,0.0,0.0
1712,Antawn Jamison,1610612764,WAS,29.0,179,276,0.649,89,226,0.394,180,479,0.376,7.0,23.0,0.304,13.0,27.0,0.481,51,157,0.325,0.0,1.0,0.0
1853,Anthony Carter,1610612750,MIN,30.0,36,60,0.6,1,7,0.143,33,93,0.355,0.0,2.0,0.0,0.0,0.0,0.0,2,12,0.167,0.0,3.0,0.0
924,Anthony Goldwire,1610612749,MIL,33.0,14,21,0.667,1,5,0.2,10,31,0.323,7.0,14.0,0.5,1.0,2.0,0.5,24,62,0.387,0.0,1.0,0.0
1533,Anthony Johnson,1610612754,IND,30.0,53,98,0.541,26,75,0.347,83,175,0.474,3.0,15.0,0.2,10.0,22.0,0.455,28,71,0.394,0.0,0.0,0.0
292,Anthony Miller,1610612737,ATL,33.0,2,3,0.667,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,,0,0,0.0,,,
324,Anthony Peeler,1610612764,WAS,35.0,6,14,0.429,6,15,0.4,19,56,0.339,2.0,9.0,0.222,4.0,7.0,0.571,19,49,0.388,0.0,0.0,0.0
952,Antoine Walker,1610612738,BOS,28.0,315,599,0.526,98,272,0.36,58,165,0.352,17.0,61.0,0.279,4.0,22.0,0.182,89,258,0.345,0.0,0.0,0.0
2766,Antonio Burks,1610612763,MEM,25.0,9,15,0.6,0,5,0.0,16,29,0.552,0.0,1.0,0.0,0.0,0.0,0.0,3,8,0.375,0.0,2.0,0.0
1498,Antonio Daniels,1610612760,SEA,30.0,99,162,0.611,36,81,0.444,89,215,0.414,3.0,5.0,0.6,8.0,16.0,0.5,38,142,0.268,0.0,2.0,0.0
213,Antonio Davis,1610612741,CHI,36.0,94,164,0.573,30,85,0.353,69,170,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
686,Antonio McDyess,1610612765,DET,30.0,116,188,0.617,30,67,0.448,161,342,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
1506,Austin Croshere,1610612754,IND,30.0,97,177,0.548,7,25,0.28,39,122,0.32,6.0,22.0,0.273,7.0,18.0,0.389,32,133,0.241,0.0,0.0,0.0
2852,Awvee Storey,1610612751,NJN,28.0,2,3,0.667,0,0,0.0,0,5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0.0,,,
1884,Baron Davis,1610612744,GSW,26.0,107,204,0.525,14,42,0.333,52,152,0.342,5.0,20.0,0.25,8.0,22.0,0.364,105,309,0.34,0.0,3.0,0.0
2732,Ben Gordon,1610612741,CHI,22.0,75,185,0.405,69,147,0.469,156,393,0.397,20.0,42.0,0.476,26.0,54.0,0.481,88,233,0.378,0.0,2.0,0.0
1052,Ben Handlogten,1610612762,UTA,31.0,35,53,0.66,4,11,0.364,4,18,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0
1112,Ben Wallace,1610612765,DET,30.0,243,440,0.552,22,84,0.262,29,118,0.246,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0.125,0.0,1.0,0.0
2757,Beno Udrih,1610612759,SAS,22.0,54,89,0.607,17,41,0.415,45,121,0.372,12.0,30.0,0.4,15.0,29.0,0.517,30,78,0.385,0.0,2.0,0.0
2774,Bernard Robinson,1610612766,CHA,24.0,23,39,0.59,1,7,0.143,9,27,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2,5,0.4,0.0,1.0,0.0
2873,Billy Thomas,1610612751,NJN,29.0,8,14,0.571,0,1,0.0,9,23,0.391,8.0,22.0,0.364,2.0,8.0,0.25,7,26,0.269,0.0,0.0,0.0
448,Bo Outlaw,1610612756,PHX,34.0,8,17,0.471,0,1,0.0,4,16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
682,Bob Sura,1610612745,HOU,32.0,100,182,0.549,14,48,0.292,46,119,0.387,12.0,37.0,0.324,7.0,14.0,0.5,36,104,0.346,0.0,0.0,0.0
1517,Bobby Jackson,1610612758,SAC,32.0,37,64,0.578,7,15,0.467,32,80,0.4,8.0,14.0,0.571,5.0,14.0,0.357,20,68,0.294,0.0,0.0,0.0
2250,Bobby Simmons,1610612746,LAC,25.0,117,194,0.603,19,46,0.413,288,662,0.435,23.0,56.0,0.411,18.0,35.0,0.514,9,23,0.391,0.0,1.0,0.0
1719,Bonzi Wells,1610612763,MEM,28.0,150,253,0.593,16,51,0.314,70,209,0.335,12.0,35.0,0.343,16.0,45.0,0.356,8,24,0.333,0.0,0.0,0.0
2564,Boris Diaw,1610612737,ATL,23.0,56,90,0.622,17,45,0.378,42,109,0.385,2.0,7.0,0.286,4.0,13.0,0.308,3,29,0.103,0.0,1.0,0.0
2411,Bostjan Nachbar,1610612740,NOH,24.0,50,100,0.5,8,22,0.364,28,93,0.301,14.0,27.0,0.519,10.0,30.0,0.333,51,139,0.367,0.0,0.0,0.0
1802,Brad Miller,1610612758,SAC,29.0,153,252,0.607,41,81,0.506,120,257,0.467,1.0,1.0,1.0,0.0,0.0,0.0,4,18,0.222,0.0,0.0,0.0
2688,Brandin Knight,1610612745,HOU,23.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,,0,0,0.0,,,
2599,Brandon Hunter,1610612753,ORL,24.0,26,42,0.619,9,24,0.375,2,7,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2217,Brendan Haywood,1610612764,WAS,25.0,178,251,0.709,50,141,0.355,11,35,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
699,Brent Barry,1610612759,SAS,33.0,62,87,0.713,14,37,0.378,18,55,0.327,11.0,37.0,0.297,8.0,34.0,0.235,81,207,0.391,0.0,2.0,0.0
1510,Brevin Knight,1610612766,CHA,29.0,61,119,0.513,41,101,0.406,143,347,0.412,0.0,2.0,0.0,0.0,1.0,0.0,3,17,0.176,0.0,0.0,0.0
2073,Brian Cardinal,1610612763,MEM,28.0,46,106,0.434,16,44,0.364,54,157,0.344,7.0,21.0,0.333,5.0,13.0,0.385,32,89,0.36,0.0,2.0,0.0
2567,Brian Cook,1610612747,LAL,24.0,38,73,0.521,10,19,0.526,50,131,0.382,4.0,21.0,0.19,6.0,13.0,0.462,68,165,0.412,0.0,0.0,0.0
258,Brian Grant,1610612747,LAL,33.0,49,93,0.527,11,21,0.524,43,95,0.453,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2243,Brian Scalabrine,1610612751,NJN,27.0,57,105,0.543,12,43,0.279,41,116,0.353,4.0,11.0,0.364,8.0,22.0,0.364,10,35,0.286,0.0,0.0,0.0
1730,Brian Skinner,1610612758,SAC,29.0,65,106,0.613,31,68,0.456,8,30,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0
2639,Britton Johnsen,1610612754,IND,25.0,2,6,0.333,0,1,0.0,4,11,0.364,0.0,1.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0
1477,Bruce Bowen,1610612759,SAS,34.0,66,113,0.584,14,51,0.275,70,182,0.385,55.0,128.0,0.43,38.0,100.0,0.38,8,24,0.333,0.0,0.0,0.0
1743,Bruno Sundov,1610612752,NYK,25.0,0,4,0.0,1,8,0.125,9,22,0.409,0.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,0.0,0.0,0.0
935,Bryon Russell,1610612743,DEN,34.0,15,37,0.405,4,8,0.5,20,58,0.345,20.0,38.0,0.526,14.0,37.0,0.378,22,72,0.306,0.0,2.0,0.0
384,Calbert Cheaney,1610612744,GSW,33.0,41,61,0.672,12,31,0.387,60,170,0.353,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0
1916,Calvin Booth,1610612749,MIL,29.0,23,35,0.657,5,16,0.313,21,56,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2306,Carlos Arroyo,1610612765,DET,25.0,58,113,0.513,11,32,0.344,90,254,0.354,2.0,3.0,0.667,0.0,2.0,0.0,6,24,0.25,0.0,1.0,0.0
2430,Carlos Boozer,1610612762,UTA,23.0,199,304,0.655,54,125,0.432,108,263,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2568,Carlos Delfino,1610612765,DET,22.0,22,46,0.478,1,4,0.25,10,32,0.313,0.0,4.0,0.0,1.0,6.0,0.167,8,23,0.348,0.0,2.0,0.0
2546,Carmelo Anthony,1610612743,DEN,21.0,302,542,0.557,19,79,0.241,167,451,0.37,2.0,11.0,0.182,1.0,9.0,0.111,39,133,0.293,0.0,5.0,0.0
2406,Caron Butler,1610612747,LAL,25.0,232,419,0.554,40,101,0.396,131,346,0.379,12.0,39.0,0.308,11.0,27.0,0.407,15,54,0.278,0.0,5.0,0.0
2418,Casey Jacobsen,1610612740,NOH,24.0,66,138,0.478,7,27,0.259,26,66,0.394,13.0,41.0,0.317,16.0,39.0,0.41,37,97,0.381,0.0,0.0,0.0
369,Charlie Ward,1610612745,HOU,34.0,5,12,0.417,1,7,0.143,2,7,0.286,0.0,2.0,0.0,4.0,11.0,0.364,12,37,0.324,0.0,1.0,0.0
1497,Chauncey Billups,1610612765,DET,28.0,96,192,0.5,20,53,0.377,123,281,0.438,19.0,42.0,0.452,11.0,24.0,0.458,135,320,0.422,0.0,1.0,0.0
2365,Chris Andersen,1610612740,NOH,26.0,144,213,0.676,10,29,0.345,37,113,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,1.0,0.0
2547,Chris Bosh,1610612761,TOR,21.0,212,368,0.576,79,166,0.476,179,461,0.388,0.0,1.0,0.0,1.0,1.0,1.0,2,7,0.286,0.0,1.0,0.0
2768,Chris Duhon,1610612741,CHI,22.0,48,130,0.369,19,48,0.396,12,46,0.261,10.0,23.0,0.435,5.0,16.0,0.313,78,224,0.348,0.0,1.0,0.0
2549,Chris Kaman,1610612746,LAC,23.0,133,227,0.586,79,173,0.457,34,94,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0
2036,Chris Mihm,1610612747,LAL,25.0,186,313,0.594,65,160,0.406,29,77,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0
185,Chris Webber,1610612755,PHI,32.0,169,284,0.595,97,229,0.424,274,726,0.377,0.0,0.0,0.0,1.0,1.0,1.0,14,42,0.333,0.0,1.0,0.0
2404,Chris Wilcox,1610612746,LAC,22.0,115,180,0.639,38,99,0.384,16,50,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
363,Christian Laettner,1610612748,MIA,35.0,50,65,0.769,7,9,0.778,49,103,0.476,0.0,1.0,0.0,0.0,0.0,0.0,1,6,0.167,0.0,0.0,0.0
1088,Chucky Atkins,1610612747,LAL,30.0,101,175,0.577,18,44,0.409,93,236,0.394,22.0,58.0,0.379,14.0,47.0,0.298,140,341,0.411,0.0,9.0,0.0
221,Clar. Weatherspoon,1610612745,HOU,34.0,22,42,0.524,9,18,0.5,16,54,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,
361,Clifford Robinson,1610612751,NJN,38.0,38,68,0.559,31,82,0.378,66,180,0.367,7.0,20.0,0.35,10.0,30.0,0.333,50,142,0.352,0.0,1.0,0.0
1894,Corey Maggette,1610612746,LAC,25.0,161,286,0.563,36,94,0.383,177,438,0.404,5.0,18.0,0.278,3.0,9.0,0.333,43,138,0.312,0.0,3.0,0.0
