Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
243,Aaron McKie,1610612747,LAL,33.0,0,0,0.0,1.0,2.0,0.5,2.0,8.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101223,Aaron Miles,1610612744,GSW,23.0,2,7,0.286,0.0,1.0,0.0,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1425,Aaron Williams,1610612740,NOK,34.0,64,99,0.646,9.0,30.0,0.3,18.0,47.0,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1502,Adonal Foyle,1610612744,GSW,31.0,100,173,0.578,37.0,89.0,0.416,15.0,38.0,0.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1559,Adrian Griffin,1610612742,DAL,31.0,39,67,0.582,24.0,46.0,0.522,35.0,89.0,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1733,Al Harrington,1610612737,ATL,26.0,250,423,0.591,40.0,123.0,0.325,194.0,482.0,0.402,14.0,43.0,0.326,9.0,22.0,0.409,44.0,127.0,0.346,0.0,0.0,0.0
2744,Al Jefferson,1610612738,BOS,21.0,138,235,0.587,35.0,92.0,0.38,16.0,48.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
101187,Alan Anderson,1610612766,CHA,23.0,36,72,0.5,3.0,8.0,0.375,12.0,43.0,0.279,5.0,17.0,0.294,12.0,19.0,0.632,7.0,22.0,0.318,0.0,0.0,0.0
673,Alan Henderson,1610612739,CLE,33.0,43,76,0.566,3.0,9.0,0.333,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
