Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2062,A.J. Guyton,1610612741,CHI,24.0,15,27,0.556,5.0,15.0,0.333,22,79,0.278,2.0,7.0,0.286,4.0,17.0,0.235,39,97,0.402,0.0,1.0,0.0
243,Aaron McKie,1610612755,PHI,29.0,61,94,0.649,22.0,62.0,0.355,86,206,0.417,20.0,27.0,0.741,9.0,20.0,0.45,22,80,0.275,0.0,1.0,0.0
1425,Aaron Williams,1610612751,NJN,30.0,140,217,0.645,57.0,134.0,0.425,34,86,0.395,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0
1502,Adonal Foyle,1610612744,GSW,27.0,94,171,0.55,57.0,162.0,0.352,20,52,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1559,Adrian Griffin,1610612742,DAL,27.0,85,122,0.697,31.0,61.0,0.508,47,122,0.385,7.0,14.0,0.5,6.0,14.0,0.429,3,24,0.125,0.0,2.0,0.0
1733,Al Harrington,1610612754,IND,22.0,95,161,0.59,49.0,109.0,0.45,85,211,0.403,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0.5,0.0,0.0,0.0
673,Alan Henderson,1610612737,ATL,29.0,47,72,0.653,6.0,24.0,0.25,5,19,0.263,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0
275,Allan Houston,1610612752,NYK,31.0,50,126,0.397,47.0,104.0,0.452,335,725,0.462,9.0,32.0,0.281,16.0,41.0,0.39,111,273,0.407,0.0,0.0,0.0
947,Allen Iverson,1610612755,PHI,27.0,231,410,0.563,74.0,221.0,0.335,282,770,0.366,8.0,20.0,0.4,4.0,5.0,0.8,66,243,0.272,0.0,0.0,0.0
297,Alonzo Mourning,1610612748,MIA,32.0,239,338,0.707,85.0,212.0,0.401,122,313,0.39,0.0,0.0,0.0,1.0,1.0,1.0,0,2,0.0,0.0,0.0,0.0
2228,Alton Ford,1610612756,PHX,21.0,41,69,0.594,6.0,18.0,0.333,14,31,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2264,Alvin Jones,1610612755,PHI,23.0,6,12,0.5,0.0,0.0,0.0,2,8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,
1541,Alvin Williams,1610612761,TOR,27.0,97,190,0.511,43.0,82.0,0.524,201,506,0.397,3.0,11.0,0.273,13.0,24.0,0.542,46,156,0.295,0.0,2.0,0.0
1043,Amal McCaskill,1610612759,SAS,28.0,12,23,0.522,3.0,9.0,0.333,5,17,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1889,Andre Miller,1610612739,CLE,26.0,156,280,0.557,97.0,220.0,0.441,199,458,0.434,2.0,3.0,0.667,0.0,5.0,0.0,20,69,0.29,0.0,10.0,0.0
1905,Andrei Kirilenko,1610612762,UTA,21.0,224,378,0.593,11.0,49.0,0.224,26,107,0.243,3.0,10.0,0.3,1.0,15.0,0.067,20,74,0.27,0.0,0.0,0.0
692,Andrew DeClercq,1610612753,ORL,29.0,50,97,0.515,11.0,33.0,0.333,6,19,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
358,Anfernee Hardaway,1610612756,PHX,30.0,144,264,0.545,82.0,199.0,0.412,140,385,0.364,1.0,6.0,0.167,0.0,10.0,0.0,22,66,0.333,0.0,1.0,0.0
