Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
201985,AJ Price,1610612754,IND,24.0,14,24,0.583,22.0,55.0,0.4,37.0,92.0,0.402,0.0,1.0,0.0,1.0,5.0,0.2,40,139,0.288,0.0,4.0,0.0
201166,Aaron Brooks,1610612756,PHX,26.0,77,135,0.57,17.0,71.0,0.239,56.0,145.0,0.386,8.0,17.0,0.471,9.0,28.0,0.321,53,182,0.291,0.0,9.0,0.0
201189,Aaron Gray,1610612740,NOH,26.0,46,71,0.648,8.0,23.0,0.348,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
201151,Acie Law,1610612744,GSW,26.0,51,83,0.614,6.0,24.0,0.25,18.0,43.0,0.419,1.0,11.0,0.091,3.0,11.0,0.273,2,14,0.143,0.0,0.0,0.0
1733,Al Harrington,1610612743,DEN,31.0,123,221,0.557,16.0,46.0,0.348,25.0,80.0,0.313,24.0,69.0,0.348,9.0,21.0,0.429,84,238,0.353,0.0,0.0,0.0
201143,Al Horford,1610612737,ATL,25.0,172,242,0.711,104.0,211.0,0.493,235.0,464.0,0.506,0.0,0.0,0.0,2.0,2.0,1.0,0,2,0.0,0.0,0.0,0.0
2744,Al Jefferson,1610612762,UTA,26.0,303,477,0.635,162.0,378.0,0.429,189.0,464.0,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
201154,Al Thornton,1610612744,GSW,27.0,97,147,0.66,32.0,73.0,0.438,72.0,185.0,0.389,0.0,9.0,0.0,0.0,5.0,0.0,4,11,0.364,0.0,1.0,0.0
202329,Al-Farouq Aminu,1610612746,LAC,20.0,85,155,0.548,19.0,44.0,0.432,11.0,64.0,0.172,7.0,24.0,0.292,9.0,34.0,0.265,29,84,0.345,0.0,1.0,0.0
201582,Alexis Ajinca,1610612761,TOR,23.0,21,32,0.656,4.0,6.0,0.667,22.0,61.0,0.361,1.0,1.0,1.0,1.0,1.0,1.0,10,32,0.313,0.0,0.0,0.0
202087,Alonzo Gee,1610612739,CLE,24.0,83,139,0.597,10.0,39.0,0.256,11.0,35.0,0.314,6.0,14.0,0.429,2.0,10.0,0.2,9,27,0.333,0.0,0.0,0.0
2405,Amar'e Stoudemire,1610612752,NYK,28.0,335,559,0.599,170.0,384.0,0.443,229.0,516.0,0.444,3.0,4.0,0.75,1.0,3.0,0.333,6,16,0.375,0.0,0.0,0.0
101161,Amir Johnson,1610612761,TOR,24.0,207,306,0.676,27.0,76.0,0.355,47.0,112.0,0.42,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0
2760,Anderson Varejao,1610612739,CLE,28.0,82,139,0.59,15.0,39.0,0.385,17.0,36.0,0.472,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0.0,0.0,0.0,0.0
101154,Andray Blatche,1610612764,WAS,24.0,236,387,0.61,61.0,185.0,0.33,125.0,367.0,0.341,0.0,3.0,0.0,0.0,1.0,0.0,4,14,0.286,0.0,0.0,0.0
2738,Andre Iguodala,1610612755,PHI,27.0,151,211,0.716,17.0,72.0,0.236,109.0,295.0,0.369,10.0,18.0,0.556,11.0,27.0,0.407,40,132,0.303,0.0,4.0,0.0
1889,Andre Miller,1610612757,POR,35.0,172,271,0.635,71.0,170.0,0.418,141.0,366.0,0.385,1.0,3.0,0.333,0.0,1.0,0.0,3,28,0.107,0.0,5.0,0.0
200745,Andrea Bargnani,1610612761,TOR,25.0,133,230,0.578,102.0,235.0,0.434,213.0,485.0,0.439,2.0,3.0,0.667,0.0,0.0,0.0,75,217,0.346,0.0,3.0,0.0
1905,Andrei Kirilenko,1610612762,UTA,30.0,154,260,0.592,14.0,32.0,0.438,49.0,152.0,0.322,6.0,9.0,0.667,3.0,7.0,0.429,27,82,0.329,0.0,0.0,0.0
2804,Andres Nocioni,1610612755,PHI,31.0,41,63,0.651,17.0,44.0,0.386,18.0,52.0,0.346,6.0,16.0,0.375,11.0,23.0,0.478,25,79,0.316,0.0,0.0,0.0
101106,Andrew Bogut,1610612749,MIL,26.0,221,353,0.626,124.0,307.0,0.404,22.0,78.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,1.0,0.0
101115,Andrew Bynum,1610612747,LAL,23.0,188,263,0.715,43.0,126.0,0.341,6.0,24.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2740,Andris Biedrins,1610612744,GSW,25.0,101,160,0.631,36.0,95.0,0.379,5.0,11.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
202360,Andy Rautins,1610612752,NYK,24.0,0,1,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.25,,,
1712,Antawn Jamison,1610612739,CLE,35.0,110,169,0.651,85.0,187.0,0.455,86.0,255.0,0.337,6.0,20.0,0.3,10.0,25.0,0.4,77,220,0.35,0.0,0.0,0.0
1853,Anthony Carter,1610612752,NYK,36.0,19,23,0.826,7.0,17.0,0.412,7.0,26.0,0.269,1.0,3.0,0.333,1.0,4.0,0.25,10,30,0.333,0.0,2.0,0.0
201627,Anthony Morrow,1610612751,NJN,25.0,28,62,0.452,40.0,80.0,0.5,101.0,218.0,0.463,17.0,51.0,0.333,22.0,46.0,0.478,71,163,0.436,0.0,0.0,0.0
1515,Anthony Parker,1610612739,CLE,36.0,22,33,0.667,17.0,50.0,0.34,95.0,242.0,0.393,19.0,45.0,0.422,21.0,46.0,0.457,46,136,0.338,0.0,0.0,0.0
201576,Anthony Randolph,1610612750,MIN,21.0,70,114,0.614,15.0,40.0,0.375,37.0,106.0,0.349,1.0,1.0,1.0,0.0,2.0,0.0,0,0,0.0,0.0,1.0,0.0
201229,Anthony Tolliver,1610612750,MIN,26.0,51,80,0.638,16.0,43.0,0.372,27.0,74.0,0.365,6.0,7.0,0.857,7.0,12.0,0.583,34,97,0.351,0.0,0.0,0.0
101120,Antoine Wright,1610612758,SAC,27.0,1,1,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0
1498,Antonio Daniels,1610612755,PHI,36.0,0,0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0
686,Antonio McDyess,1610612759,SAS,36.0,64,91,0.703,2.0,12.0,0.167,103.0,240.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
202356,Armon Johnson,1610612757,POR,22.0,15,33,0.455,16.0,30.0,0.533,10.0,26.0,0.385,1.0,2.0,0.5,1.0,1.0,1.0,3,8,0.375,0.0,1.0,0.0
