Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2062,A.J. Guyton,1610612744,GSW,25.0,0,0,0.0,0,1,0.0,0,2,0.0,0.0,0.0,0.0,,,,0,0,0.0,0.0,1.0,0.0
243,Aaron McKie,1610612755,PHI,30.0,123,215,0.572,32,84,0.381,94,255,0.369,15.0,44.0,0.341,9.0,22.0,0.409,13,44,0.295,0.0,2.0,0.0
1425,Aaron Williams,1610612751,NJN,31.0,115,218,0.528,53,120,0.442,31,100,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2492,Adam Harrington,1610612743,DEN,22.0,2,8,0.25,0,1,0.0,4,14,0.286,0.0,1.0,0.0,1.0,1.0,1.0,4,12,0.333,0.0,0.0,0.0
1502,Adonal Foyle,1610612744,GSW,28.0,109,174,0.626,51,117,0.436,25,53,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
1559,Adrian Griffin,1610612742,DAL,28.0,38,64,0.594,33,75,0.44,69,174,0.397,2.0,5.0,0.4,2.0,8.0,0.25,2,10,0.2,0.0,1.0,0.0
1733,Al Harrington,1610612754,IND,23.0,158,298,0.53,34,110,0.309,184,442,0.416,5.0,12.0,0.417,2.0,5.0,0.4,6,28,0.214,0.0,1.0,0.0
673,Alan Henderson,1610612737,ATL,30.0,100,152,0.658,17,76,0.224,36,97,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0
275,Allan Houston,1610612752,NYK,32.0,39,103,0.379,54,118,0.458,381,794,0.48,12.0,37.0,0.324,37.0,78.0,0.474,129,331,0.39,0.0,4.0,0.0
947,Allen Iverson,1610612755,PHI,28.0,300,556,0.54,74,186,0.398,346,895,0.387,9.0,34.0,0.265,0.0,4.0,0.0,74,264,0.28,1.0,1.0,1.0
2228,Alton Ford,1610612756,PHX,22.0,1,2,0.5,0,1,0.0,2,6,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,
1541,Alvin Williams,1610612761,TOR,28.0,73,139,0.525,47,109,0.431,228,511,0.446,0.0,1.0,0.0,5.0,10.0,0.5,43,135,0.319,0.0,0.0,0.0
1043,Amal McCaskill,1610612737,ATL,29.0,4,14,0.286,0,3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,
2405,Amar'e Stoudemire,1610612756,PHX,20.0,283,485,0.584,85,241,0.353,22,94,0.234,1.0,2.0,0.5,0.0,1.0,0.0,1,3,0.333,0.0,4.0,0.0
1889,Andre Miller,1610612746,LAC,27.0,136,249,0.546,91,230,0.396,127,341,0.372,2.0,7.0,0.286,1.0,3.0,0.333,20,88,0.227,0.0,10.0,0.0
