Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
243,Aaron McKie,1610612755,PHI,31.0,80,139,0.576,24,54,0.444,86,212,0.406,24.0,58.0,0.414,21.0,37.0,0.568,30.0,77.0,0.39,0.0,0.0,0.0
1425,Aaron Williams,1610612751,NJN,32.0,111,167,0.665,30,88,0.341,30,84,0.357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0
1502,Adonal Foyle,1610612744,GSW,29.0,37,62,0.597,17,43,0.395,5,25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1559,Adrian Griffin,1610612745,HOU,29.0,2,3,0.667,1,3,0.333,1,10,0.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
1733,Al Harrington,1610612754,IND,24.0,179,319,0.561,35,110,0.318,186,403,0.462,5.0,20.0,0.25,4.0,9.0,0.444,12.0,45.0,0.267,0.0,3.0,0.0
673,Alan Henderson,1610612737,ATL,31.0,6,10,0.6,0,4,0.0,4,7,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2682,Alex Garcia,1610612759,SAS,24.0,0,4,0.0,0,1,0.0,1,2,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
275,Allan Houston,1610612752,NYK,33.0,8,33,0.242,27,57,0.474,218,489,0.446,17.0,29.0,0.586,10.0,29.0,0.345,60.0,143.0,0.42,0.0,1.0,0.0
947,Allen Iverson,1610612755,PHI,29.0,170,328,0.518,44,136,0.324,164,462,0.355,4.0,15.0,0.267,0.0,3.0,0.0,53.0,181.0,0.293,0.0,0.0,0.0
297,Alonzo Mourning,1610612751,NJN,34.0,17,27,0.63,9,13,0.692,7,31,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,Alton Ford,1610612745,HOU,23.0,3,4,0.75,1,3,0.333,2,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1541,Alvin Williams,1610612761,TOR,29.0,32,57,0.561,25,54,0.463,118,296,0.399,3.0,5.0,0.6,7.0,23.0,0.304,16.0,59.0,0.271,0.0,2.0,0.0
1043,Amal McCaskill,1610612755,PHI,30.0,34,61,0.557,3,14,0.214,10,41,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2405,Amar'e Stoudemire,1610612756,PHX,21.0,231,380,0.608,111,269,0.413,68,211,0.322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0
1889,Andre Miller,1610612743,DEN,28.0,216,354,0.61,92,218,0.422,110,304,0.362,1.0,7.0,0.143,1.0,3.0,0.333,10.0,49.0,0.204,0.0,6.0,0.0
1905,Andrei Kirilenko,1610612762,UTA,23.0,282,495,0.57,19,58,0.328,43,178,0.242,2.0,7.0,0.286,6.0,10.0,0.6,60.0,182.0,0.33,0.0,1.0,0.0
692,Andrew DeClercq,1610612753,ORL,31.0,71,133,0.534,15,43,0.349,7,19,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,Anfernee Hardaway,1610612752,NYK,32.0,61,127,0.48,45,105,0.429,143,368,0.389,4.0,7.0,0.571,5.0,16.0,0.313,21.0,56.0,0.375,0.0,0.0,0.0
1738,Ansu Sesay,1610612760,SEA,27.0,43,66,0.652,7,19,0.368,25,72,0.347,3.0,7.0,0.429,0.0,1.0,0.0,3.0,13.0,0.231,0.0,0.0,0.0
1712,Antawn Jamison,1610612742,DAL,28.0,264,382,0.691,122,268,0.455,86,223,0.386,4.0,6.0,0.667,2.0,8.0,0.25,10.0,26.0,0.385,0.0,0.0,0.0
1853,Anthony Carter,1610612759,SAS,29.0,4,8,0.5,1,5,0.2,6,21,0.286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
924,Anthony Goldwire,1610612751,NJN,32.0,0,1,0.0,1,3,0.333,4,10,0.4,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.286,0.0,0.0,0.0
1533,Anthony Johnson,1610612754,IND,29.0,27,58,0.466,14,40,0.35,85,191,0.445,15.0,29.0,0.517,8.0,27.0,0.296,18.0,66.0,0.273,0.0,0.0,0.0
324,Anthony Peeler,1610612758,SAC,34.0,20,42,0.476,9,22,0.409,59,145,0.407,10.0,20.0,0.5,14.0,24.0,0.583,44.0,95.0,0.463,0.0,0.0,0.0
