Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
243,Aaron McKie,1610612747,LAL,34.0,2,2,1.0,1.0,1.0,1.0,8.0,14.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1425,Aaron Williams,1610612746,LAC,35.0,17,23,0.739,6.0,15.0,0.4,6.0,14.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0
200747,Adam Morrison,1610612766,CHA,22.0,61,120,0.508,60.0,157.0,0.382,147.0,410.0,0.359,5.0,17.0,0.294,10.0,23.0,0.435,71,216,0.329,1.0,1.0,1.0
1502,Adonal Foyle,1610612744,GSW,32.0,30,48,0.625,15.0,27.0,0.556,3.0,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1559,Adrian Griffin,1610612741,CHI,32.0,26,50,0.52,13.0,26.0,0.5,22.0,47.0,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,2.0,0.0
1733,Al Harrington,1610612744,GSW,27.0,221,400,0.553,33.0,85.0,0.388,114.0,305.0,0.374,23.0,50.0,0.46,13.0,25.0,0.52,91,215,0.423,0.0,3.0,0.0
2744,Al Jefferson,1610612738,BOS,22.0,253,407,0.622,139.0,306.0,0.454,61.0,168.0,0.363,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
101187,Alan Anderson,1610612766,CHA,24.0,19,31,0.613,3.0,7.0,0.429,10.0,23.0,0.435,0.0,2.0,0.0,3.0,6.0,0.5,2,11,0.182,0.0,1.0,0.0
673,Alan Henderson,1610612755,PHI,34.0,38,53,0.717,5.0,13.0,0.385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
200792,Alexander Johnson,1610612763,MEM,24.0,69,107,0.645,12.0,28.0,0.429,10.0,34.0,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
200810,Allan Ray,1610612738,BOS,23.0,25,62,0.403,2.0,10.0,0.2,25.0,71.0,0.352,15.0,34.0,0.441,6.0,16.0,0.375,27,66,0.409,0.0,0.0,0.0
947,Allen Iverson,1610612743,DEN,32.0,215,371,0.58,93.0,222.0,0.419,212.0,525.0,0.404,6.0,28.0,0.214,1.0,8.0,0.125,54,159,0.34,0.0,0.0,0.0
297,Alonzo Mourning,1610612748,MIA,37.0,155,224,0.692,76.0,163.0,0.466,7.0,38.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1541,Alvin Williams,1610612746,LAC,32.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1,0.0,,,
2405,Amar'e Stoudemire,1610612756,PHX,24.0,396,577,0.686,97.0,217.0,0.447,114.0,258.0,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0
101161,Amir Johnson,1610612765,DET,20.0,17,22,0.773,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,0.0,,,
2760,Anderson Varejao,1610612739,CLE,24.0,155,255,0.608,16.0,67.0,0.239,20.0,70.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0.0,2.0,0.0
101154,Andray Blatche,1610612764,WAS,20.0,61,102,0.598,7.0,17.0,0.412,14.0,51.0,0.275,0.0,3.0,0.0,0.0,3.0,0.0,4,21,0.19,0.0,0.0,0.0
2857,Andre Barrett,1610612741,CHI,25.0,3,4,0.75,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,
2810,Andre Brown,1610612760,SEA,26.0,25,40,0.625,15.0,24.0,0.625,2.0,9.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2738,Andre Iguodala,1610612755,PHI,23.0,234,369,0.634,17.0,67.0,0.254,144.0,400.0,0.36,6.0,18.0,0.333,7.0,24.0,0.292,35,111,0.315,0.0,2.0,0.0
1889,Andre Miller,1610612755,PHI,31.0,187,315,0.594,59.0,129.0,0.457,173.0,430.0,0.402,0.0,1.0,0.0,1.0,1.0,1.0,4,23,0.174,0.0,10.0,0.0
200745,Andrea Bargnani,1610612761,TOR,21.0,71,121,0.587,9.0,42.0,0.214,87.0,194.0,0.448,0.0,1.0,0.0,2.0,8.0,0.25,98,259,0.378,0.0,0.0,0.0
2601,Andreas Glyniadakis,1610612760,SEA,25.0,2,4,0.5,5.0,8.0,0.625,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,
1905,Andrei Kirilenko,1610612762,UTA,26.0,143,209,0.684,5.0,24.0,0.208,33.0,110.0,0.3,3.0,9.0,0.333,1.0,10.0,0.1,12,56,0.214,0.0,0.0,0.0
2804,Andres Nocioni,1610612741,CHI,27.0,74,141,0.525,35.0,71.0,0.493,84.0,164.0,0.512,3.0,12.0,0.25,20.0,34.0,0.588,57,162,0.352,0.0,0.0,0.0
