Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
201166,Aaron Brooks,1610612745,HOU,23.0,34,62,0.548,9,17,0.529,14,37,0.378,5.0,12.0,0.417,2.0,8.0,0.25,29,89,0.326,0.0,0.0,0.0
201189,Aaron Gray,1610612741,CHI,23.0,67,120,0.558,27,57,0.474,9,27,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1425,Aaron Williams,1610612746,LAC,36.0,11,25,0.44,12,18,0.667,4,12,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
201151,Acie Law,1610612737,ATL,23.0,54,104,0.519,10,29,0.345,24,70,0.343,1.0,2.0,0.5,2.0,7.0,0.286,4,25,0.16,0.0,0.0,0.0
1502,Adonal Foyle,1610612753,ORL,33.0,47,96,0.49,22,43,0.512,1,14,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1559,Adrian Griffin,1610612760,SEA,33.0,13,30,0.433,9,23,0.391,8,23,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1733,Al Harrington,1610612744,GSW,28.0,154,252,0.611,23,74,0.311,71,192,0.37,23.0,55.0,0.418,14.0,38.0,0.368,116,309,0.375,0.0,3.0,0.0
201143,Al Horford,1610612737,ATL,22.0,179,285,0.628,76,175,0.434,78,203,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,1.0,0.0
2744,Al Jefferson,1610612750,MIN,23.0,347,532,0.652,202,456,0.443,172,447,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,4.0,0.0
201154,Al Thornton,1610612746,LAC,24.0,155,253,0.613,46,111,0.414,130,377,0.345,1.0,5.0,0.2,0.0,0.0,0.0,42,123,0.341,0.0,2.0,0.0
201169,Alando Tucker,1610612756,PHX,24.0,5,13,0.385,1,1,1.0,1,4,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1,2,0.5,,,
200792,Alexander Johnson,1610612748,MIA,25.0,32,56,0.571,4,16,0.25,25,53,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
947,Allen Iverson,1610612743,DEN,33.0,278,484,0.574,114,269,0.424,225,529,0.425,13.0,38.0,0.342,3.0,7.0,0.429,79,227,0.348,0.0,2.0,0.0
297,Alonzo Mourning,1610612748,MIA,38.0,33,48,0.688,16,40,0.4,3,7,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2405,Amar'e Stoudemire,1610612756,PHX,25.0,413,567,0.728,135,281,0.48,161,332,0.485,2.0,6.0,0.333,3.0,5.0,0.6,0,19,0.0,0.0,1.0,0.0
101161,Amir Johnson,1610612765,DET,21.0,80,119,0.672,8,28,0.286,4,18,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2760,Anderson Varejao,1610612739,CLE,25.0,93,164,0.567,18,54,0.333,25,75,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0
101154,Andray Blatche,1610612764,WAS,21.0,165,275,0.6,30,86,0.349,56,162,0.346,2.0,4.0,0.5,1.0,2.0,0.5,0,7,0.0,0.0,0.0,0.0
2857,Andre Barrett,1610612746,LAC,26.0,0,0,0.0,0,0,0.0,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.333,,,
2810,Andre Brown,1610612763,MEM,27.0,29,42,0.69,7,20,0.35,3,16,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
