Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
201985,AJ Price,1610612764,WAS,26.0,23,45,0.511,22.0,49.0,0.449,46.0,119.0,0.387,7.0,18.0,0.389,11.0,29.0,0.379,52,153,0.34,0.0,0.0,0.0
201166,Aaron Brooks,1610612745,HOU,28.0,47,80,0.588,15.0,36.0,0.417,31.0,66.0,0.47,5.0,10.0,0.5,4.0,17.0,0.235,41,105,0.39,0.0,2.0,0.0
201189,Aaron Gray,1610612761,TOR,28.0,33,57,0.579,11.0,28.0,0.393,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1733,Al Harrington,1610612753,ORL,33.0,10,18,0.556,0.0,2.0,0.0,2.0,7.0,0.286,0.0,4.0,0.0,1.0,3.0,0.333,7,23,0.304,0.0,0.0,0.0
201143,Al Horford,1610612737,ATL,27.0,294,402,0.731,82.0,201.0,0.408,197.0,451.0,0.437,2.0,2.0,1.0,0.0,1.0,0.0,1,3,0.333,0.0,0.0,0.0
2744,Al Jefferson,1610612762,UTA,28.0,236,352,0.67,157.0,325.0,0.483,216.0,542.0,0.399,0.0,3.0,0.0,0.0,1.0,0.0,2,10,0.2,0.0,3.0,0.0
202329,Al-Farouq Aminu,1610612740,NOH,22.0,159,261,0.609,33.0,87.0,0.379,29.0,107.0,0.271,2.0,5.0,0.4,1.0,3.0,0.333,1,11,0.091,0.0,0.0,0.0
101187,Alan Anderson,1610612761,TOR,30.0,71,120,0.592,27.0,67.0,0.403,43.0,144.0,0.299,19.0,48.0,0.396,15.0,45.0,0.333,61,192,0.318,0.0,0.0,0.0
202692,Alec Burks,1610612762,UTA,21.0,73,129,0.566,13.0,47.0,0.277,44.0,120.0,0.367,3.0,10.0,0.3,3.0,6.0,0.5,27,76,0.355,0.0,0.0,0.0
203144,Alexey Shved,1610612750,MIN,24.0,88,149,0.591,19.0,58.0,0.328,44.0,140.0,0.314,7.0,15.0,0.467,7.0,13.0,0.538,71,259,0.274,0.0,1.0,0.0
202087,Alonzo Gee,1610612739,CLE,26.0,160,278,0.576,28.0,100.0,0.28,48.0,147.0,0.327,23.0,70.0,0.329,16.0,57.0,0.281,29,90,0.322,1.0,2.0,0.5
2405,Amar'e Stoudemire,1610612752,NYK,30.0,116,184,0.63,21.0,40.0,0.525,17.0,43.0,0.395,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
101161,Amir Johnson,1610612761,TOR,26.0,213,320,0.666,63.0,116.0,0.543,55.0,157.0,0.35,1.0,1.0,1.0,1.0,4.0,0.25,3,7,0.429,0.0,1.0,0.0
2760,Anderson Varejao,1610612739,CLE,30.0,88,154,0.571,15.0,46.0,0.326,35.0,84.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,1.0,0.0
101154,Andray Blatche,1610612751,BKN,26.0,223,340,0.656,51.0,147.0,0.347,69.0,167.0,0.413,1.0,3.0,0.333,1.0,4.0,0.25,1,13,0.077,0.0,2.0,0.0
203083,Andre Drummond,1610612765,DET,19.0,197,291,0.677,8.0,33.0,0.242,2.0,16.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0
